Country,City,Airport name,IATA
United States of America,Concordia,Blosser Municipal Airport,CNK
Denmark,Sindal,Sindal Airport,CNL
United States of America,Carlsbad,Cavern City Air Terminal,CNM
India,Kannur,Kannur International Airport,CNN
United States of America,Chino,Chino Airport,CNO
Greenland,Neerlerit Inaat,Neerlerit Inaat Airport,CNP
Argentina,Corrientes,Corrientes Airport,CNQ
Chile,Chañaral,Chañaral Airport,CNR
Australia,Cairns,Cairns International Airport,CNS
Argentina,Charata,Charata Airport,CNT
United States of America,Chanute,Chanute Martin Johnson Airport,CNU
Brazil,Canavieiras,Sócrates Rezende Airport,CNV
United States of America,Waco,TSTC Waco Airport,CNW
Thailand,Chiang Mai,Chiang Mai International Airport,CNX
United States of America,Moab,Canyonlands Regional Airport,CNY
Angola,Cangamba,Cangamba Airport,CNZ
United States of America,Columbia,Columbia Airport,COA
Australia,Coolibah,Coolibah Airport,COB
Argentina,Concordia,Comodoro Pierrestegui Airport,COC
United States of America,Cody,Yellowstone Regional Airport,COD
United States of America,Coeur d'Alene,Coeur D'Alene Airport - Pappy Boyington Field,COE
United States of America,Cocoa Beach,Patrick Space Force Base,COF
Colombia,Condoto,Mandinga Airport,COG
India,Cooch Behar,Cooch Behar Airport,COH
United States of America,Merritt Island,Merritt Island Airport,COI
Australia,,Coonabarabran Airport,COJ
India,Kochi,Cochin International Airport,COK
United Kingdom,Coll Island,Coll Airport,COL
United States of America,Coleman,Coleman Municipal Airport,COM
United States of America,Concord,Concord Municipal Airport,CON
Benin,Cotonou,Cadjehoun Airport,COO
United States of America,Cooperstown,Cooperstown-Westville Airport,COP
Mongolia,,Choibalsan Airport,COQ
Argentina,Cordoba,Ingeniero Ambrosio Taravella Airport,COR
United States of America,Colorado Springs,City of Colorado Springs Municipal Airport,COS
United States of America,Cotulla,Cotulla-La Salle County Airport,COT
United States of America,Columbia,Columbia Regional Airport,COU
Turkey,Tarsus,Çukurova International Airport,COV
Chile,Coquimbo,Tambillos Airport,COW
Australia,Coolawanyah Station,Coolawanyah Airport,COY
Dominican Republic,Costanza,Constanza - Expedición 14 de Junio National Airport,COZ
Liberia,Harper,Cape Palmas Airport,CPA
Colombia,Acandí,Capurganá Airport,CPB
Argentina,Chapelco/San Martin de los Andes,Aviador C. Campos Airport,CPC
Australia,Coober Pedy,Coober Pedy Airport,CPD
Mexico,Campeche,Ingeniero Alberto Acuña Ongay International Airport,CPE
Indonesia,Tjepu-Java Island,Ngloram Airport,CPF
Argentina,Carmen de Patagones,Carmen de Patagones Airport,CPG
Denmark,Copenhagen,Copenhagen Kastrup Airport,CPH
Papua New Guinea,,Cape Orford Airport,CPI
Colombia,Chaparral,General Navas Pardo Airport,CPL
United States of America,Compton,Compton Woodley Airport,CPM
Papua New Guinea,Cape Rodney,Cape Rodney Airport,CPN
Chile,Copiapo,Desierto de Atacama Airport,CPO
Chile,Pica,Coposa Airport,CPP
United States of America,Casper,Casper-Natrona County International Airport,CPR
United States of America,Cahokia/St Louis,St Louis Downtown Airport,CPS
South Africa,Cape Town,Cape Town International Airport,CPT
Brazil,Cururupu,Cururupu Airport,CPU
Brazil,Campina Grande,Presidente João Suassuna Airport,CPV
Puerto Rico,Culebra,Benjamin Rivera Noriega Airport,CPX
Brazil,Canarana,Canarana Airport,CQA
Iran,Shahrekord,Shahrekord Airport,CQD
France,Marck,Calais-Dunkerque Airport,CQF
Spain,Ciudad Real,Ciudad Real International Airport,CQM
Australia,,Cape Flattery Airport,CQP
Brazil,Costa Marques,Costa Marques Airport,CQS
Colombia,Caquetania,Caquetania Airport,CQT
China,Wulong,Chongqing Xiannüshan Airport,CQW
Romania,Craiova,Craiova International Airport,CRA
Australia,,Collarenebri Airport,CRB
Colombia,Cartago,Santa Ana Airport,CRC
Argentina,Comodoro Rivadavia,General E. Mosconi Airport,CRD
United States of America,North Myrtle Beach,Grand Strand Airport,CRE
Central African Republic,Carnot,Carnot Airport,CRF
United States of America,Jacksonville,Jacksonville Executive at Craig Airport,CRG
Australia,Cherrabah Homestead Resort,Cherrabah Airport,CRH
Bahamas,Colonel Hill,Colonel Hill Airport,CRI
Australia,Coorabie,Coorabie Airport,CRJ
Philippines,Mabalacat,Clark International Airport / Clark Air Base,CRK
Belgium,Charleroi,Brussels South Charleroi Airport,CRL
Philippines,Catarman,Catarman National Airport,CRM
United States of America,Corcoran,Corcoran Airport,CRO
United States of America,Corpus Christi,Corpus Christi International Airport,CRP
Brazil,Caravelas,Caravelas Airport,CRQ
Argentina,Ceres,Ceres Airport,CRR
United States of America,Corsicana,C David Campbell Field Corsicana Municipal Airport,CRS
United States of America,Crossett,Z M Jack Stell Field,CRT
Grenada,Carriacou Island,Lauriston Airport,CRU
Italy,Isola di Capo Rizzuto (KR),Crotone Sant'Anna Pythagoras Airport,CRV
United States of America,Charleston,Yeager Airport,CRW
United States of America,Corinth,Roscoe Turner Airport,CRX
Australia,Carlton Hill,Carlton Hill Airport,CRY
Turkmenistan,Türkmenabat,Türkmenabat International Airport,CRZ
United Kingdom,Colonsay,Colonsay Airstrip,CSA
Romania,Caransebeş,Caransebeş Airport,CSB
Costa Rica,Cañas,Mojica Airport,CSC
Australia,Cresswell Downs,Cresswell Downs Airport,CSD
United States of America,Crested Butte,Crested Butte Airpark,CSE
France,Creil,Creil Air Base,CSF
United States of America,Columbus,Columbus Metropolitan Airport,CSG
Russia,Solovetsky Islands,Solovki Airport,CSH
Australia,,Casino Airport,CSI
Senegal,Cap Skirring,Cap Skirring Airport,CSK
United States of America,Clinton,Clinton Sherman Airport,CSM
United States of America,Carson City,Carson Airport,CSN
Germany,Hecklingen,Cochstedt Airport,CSO
United States of America,Creston,Creston Municipal Airport,CSQ
Colombia,Casuarito,Casuarito Airport,CSR
Brazil,Cassilândia,Cassilândia Airport,CSS
Brazil,Santa Cruz Do Sul,Santa Cruz do Sul Airport,CSU
United States of America,Crossville,Crossville Memorial Airport Whitson Field,CSV
China,Changsha (Changsha),Changsha Huanghua International Airport,CSX
Russia,Cheboksary,Cheboksary Airport,CSY
Argentina,Coronel Suarez,Brigadier D.H.E. Ruiz Airport,CSZ
Italy,Catania,Catania-Fontanarossa Airport,CTA
United States of America,Cut Bank,Cut Bank International Airport,CTB
Argentina,Catamarca,Coronel Felipe Varela International Airport,CTC
Panama,Chitré,Alonso Valderrama Airport,CTD
Panama,Carti,Carti Airport,CTE
Guatemala,Coatepeque,Coatepeque Airport,CTF
Colombia,Cartagena,Rafael Nuñez International Airport,CTG
United States of America,Coatesville,Chester County G O Carlson Airport,CTH
Angola,Cuito Cuanavale,Cuito Cuanavale Airport,CTI
United States of America,Canton,Canton Municipal Airport,CTK
Australia,Charleville,Charleville Airport,CTL
Mexico,Chetumal,Aeropuerto Internacional de Chetumal,CTM
Australia,,Cooktown Airport,CTN
United States of America,Calverton,Calverton Executive Airpark,CTO
Brazil,Santa Vitória do Palmar,Santa Vitória do Palmar Airport,CTQ
Australia,,Cattle Creek Airport,CTR
Japan,Sapporo,New Chitose Airport,CTS
France,"Le Castellet, Var",Le Castellet Airport,CTT
China,Chengdu (Shuangliu),Chengdu Shuangliu International Airport,CTU
United States of America,Cortland,Cortland County Chase Field,CTX
United States of America,Cross City,Cross City Airport,CTY
United States of America,Clinton,Sampson County Airport,CTZ
Mexico,Comondú,Ciudad Constitución National Airport,CUA
United States of America,Columbia,Jim Hamilton L.B. Owens Airport,CUB
Colombia,Cúcuta,Camilo Daza International Airport,CUC
Australia,Caloundra,Caloundra Airport,CUD
Ecuador,Cuenca,Mariscal Lamar Airport,CUE
Italy,Levaldigi (CN),Cuneo International Airport,CUF
Australia,,Cudal Airport,CUG
United States of America,Cushing,Cushing Municipal Airport,CUH
Colombia,Currillo,Currillo Airport,CUI
Philippines,Culion,Culion Airport,CUJ
Belize,Caye Caulker,Caye Caulker Airport,CUK
Mexico,Culiacán,Bachigualato Federal International Airport,CUL
Venezuela,,Cumaná (Antonio José de Sucre) Airport,CUM
Mexico,Cancún,Aeropuerto Internacional de Cancún,CUN
Colombia,Carurú,Carurú Airport,CUO
Venezuela,Carúpano,General Francisco Bermúdez Airport,CUP
Australia,Coen,Coen Airport,CUQ
Curacao,Willemstad,Hato International Airport,CUR
Argentina,Cutral-Co,Cutral-Co Airport,CUT
Mexico,Chihuahua,General Roberto Fierro Villalobos International Airport,CUU
Venezuela,Casigua El Cubo,Casigua El Cubo Airport,CUV
Australia,,Cue Airport,CUY
Peru,Cusco,Alejandro Velasco Astete International Airport,CUZ
Papua New Guinea,Chungribu,Chungribu Airport,CVB
Australia,,Cleve Airport,CVC
Colombia,Coveñas,Coveñas Airport,CVE
France,Saint-Bon,Courchevel Altiport,CVF
United States of America,Cincinnati / Covington,Cincinnati Northern Kentucky International Airport,CVG
Argentina,Lafontaine,Caviahue Airport,CVH
Argentina,Caleta Olivia,Caleta Olivia Airport,CVI
Mexico,Temixco,Aeropuerto Internacional Mariano Matamoros,CVJ
Papua New Guinea,,Cape Vogel Airport,CVL
Mexico,Ciudad Victoria,General Pedro Jose Mendez International Airport,CVM
United States of America,Clovis,Clovis Municipal Airport,CVN
United States of America,Corvallis,Corvallis Municipal Airport,CVO
Australia,Carnarvon,Carnarvon Airport,CVQ
United States of America,Clovis,Cannon Air Force Base,CVS
United Kingdom,"Coventry, West Midlands",Coventry Airport,CVT
Portugal,Corvo,Corvo Airport,CVU
United States of America,Mosinee,Central Wisconsin Airport,CWA
Brazil,Curitiba,Afonso Pena Airport,CWB
Ukraine,Chernivtsi,Chernivtsi International Airport,CWC
Egypt,El Cairo,Cairo West Airport,CWE
United States of America,Lake Charles,Chennault International Airport,CWF
United States of America,Clinton,Clinton Municipal Airport,CWI
China,Lincang (Cangyuan),Cangyuan Washan Airport,CWJ
United Kingdom,"Rhoose, Vale of Glamorgan",Cardiff International Airport,CWL
Pakistan,Campbellpore,Campbellpore Airport,CWP
Australia,,Cowarie Airport,CWR
United States of America,Center Island,Center Island Airport,CWS
Australia,,Cowra Airport,CWT
Australia,,Corowa Airport,CWW
United States of America,Willcox,Cochise County Airport,CWX
Venezuela,,Caicara del Orinoco Airport,CXA
Bangladesh,Cox's Bazar,Cox's Bazar Airport,CXB
United States of America,Chitina,Chitina Airport,CXC
United States of America,Coldfoot,Coldfoot Airport,CXF
Kiribati,Kiritimati,Cassidy International Airport,CXI
Brazil,Caxias Do Sul,Hugo Cantergiani Regional Airport,CXJ
United States of America,Calexico,Calexico International Airport,CXL
Angola,Camaxilo,Camaxilo Airport,CXM
Somalia,Qandala,Qandala Airport,CXN
United States of America,Houston,Conroe-North Houston Regional Airport,CXO
Indonesia,Cilacap,Tunggul Wulung Airport,CXP
Australia,Wangkat Jungka,Christmas Creek Station Airport,CXQ
Vietnam,Cam Ranh,Cam Ranh International Airport / Cam Ranh Air Base,CXR
Australia,,Charters Towers Airport,CXT
Bahamas,North Cat Cay,Cat Cay Airport,CXY
Haiti,Les Cayes,Les Cayes Airport,CYA
Cayman Islands,West End,Charles Kirkconnell International Airport,CYB
Belize,Caye Chapel,Caye Chapel Airport,CYC
Belize,Maya Flats,San Ignacio Town (Maya Flats) Airstrip,CYD
United States of America,Chefornak,Chefornak Airport,CYF
Australia,,Corryong Airport,CYG
Taiwan,Chiayi City,Chiayi Airport,CYI
Honduras,Coyoles,Coyoles Airport,CYL
Cuba,Cayo Largo del Sur,Vilo Acuña International Airport,CYO
Philippines,Calbayog City,Calbayog Airport,CYP
Uruguay,Colonia del Sacramento,Colonia Laguna de Los Patos International Airport,CYR
United States of America,Cheyenne,Cheyenne Regional Jerry Olson Field,CYS
United States of America,Yakataga,Yakataga Airport,CYT
Philippines,Cuyo,Cuyo Airport,CYU
Mexico,Celaya,Aeropuerto Nacional Captain Rogelio Castillo,CYW
Russia,Cherskiy,Cherskiy Airport,CYX
Philippines,Cauayan City,Cauayan Airport,CYZ
Mexico,Chichen Itza,Aeropuerto Internacional de Chichen Itza,CZA
Brazil,Cruz Alta,Carlos Ruhl Airport,CZB
United States of America,Copper Center,Copper Center 2 Airport,CZC
Venezuela,Coro,José Leonardo Chirinos Airport,CZE
United States of America,Cape Romanzof,Cape Romanzof LRRS Airport,CZF
Belize,Corozal,Corozal Airport,CZH
Panama,Tupile,Corazón de Jesús Airport,CZJ
United States of America,Cascade Locks,Cascade Locks State Airport,CZK
Algeria,Constantine,Mohamed Boudiaf International Airport,CZL
Mexico,Ciudad de Cozumel,Aeropuerto Internacional de Cozumel,CZM
United States of America,Chisana,Chisana Airport,CZN
United States of America,Chistochina,Chistochina Airport,CZO
Brazil,Cruzeiro Do Sul,Cruzeiro do Sul Airport,CZS
United States of America,Carrizo Springs,Dimmit County Airport,CZT
Colombia,Corozal,Las Brujas Airport,CZU
Poland,Rudniki,Częstochowa-Rudniki Airport,CZW
China,Changzhou,Changzhou Benniu International Airport,CZX
Australia,,Cluny Airport,CZY
United States of America,Fort Belvoir,Davison Army Air Field,DAA
United States of America,Daytona Beach,Daytona Beach International Airport,DAB
Bangladesh,Dhaka,Hazrat Shahjalal International Airport,DAC
Vietnam,Da Nang,Da Nang International Airport,DAD
Papua New Guinea,,Daup Airport,DAF
United States of America,Daggett,Barstow Daggett Airport,DAG
Egypt,Dakhla Oases,Ad Dakhla Airport,DAK
United States of America,Dallas,Dallas Love Field,DAL
Syria,Damascus,Damascus International Airport,DAM
United States of America,Danville,Danville Regional Airport,DAN
Papua New Guinea,,Dabo Airport,DAO
Nepal,Darchula,Darchula Airport,DAP
Tanzania,Dar es Salaam,Julius Nyerere International Airport,DAR
Canada,Great Bear Lake,Great Bear Lake Airport,DAS
China,Datong,Datong Yungang Airport,DAT
Papua New Guinea,Daru,Daru Airport,DAU
Panama,David,Enrique Malek International Airport,DAV
China,Dazhou (Daxian),Dachuan Airport,DAX
United States of America,Dayton,James M Cox Dayton International Airport,DAY
Afghanistan,Darwaz,Darwaz Airport,DAZ
Pakistan,Dalbandin,Dalbandin Airport,DBA
Egypt,El Alamein,El Alamein International Airport,DBB
China,Baicheng,Baicheng Chang'an Airport,DBC
India,,Dhanbad Airport,DBD
Ethiopia,Debre Markos,Debre Markos Airport,DBM
United States of America,Dublin,W H 'Bud' Barron Airport,DBN
Australia,Dubbo,Dubbo City Regional Airport,DBO
Papua New Guinea,Debepare,Debepare Airport,DBP
United States of America,Dubuque,Dubuque Regional Airport,DBQ
India,Darbhanga,Darbhanga Airport,DBR
United States of America,Dubois,Dubois Municipal Airport,DBS
Ethiopia,Debre Tabor,Debre Tabor Airport,DBT
Croatia,Čilipi,Dubrovnik Ruđer Bošković Airport,DBV
Australia,,Dalby Airport,DBY
United States of America,Washington,Ronald Reagan Washington National Airport,DCA
Dominica,Canefield,Canefield Airport,DCF
Italy,Decimomannu,Decimomannu Air Base,DCI
United States of America,Dahl Creek,Dahl Creek Airport,DCK
France,Castres/Mazamet,Castres-Mazamet Airport,DCM
Australia,Derby,RAAF Base Curtin,DCN
Bahamas,,Duncan Town Airport,DCT
United States of America,Decatur,Pryor Field Regional Airport,DCU
China,Garzê (Daocheng),Daocheng Yading Airport,DCY
United States of America,Dodge City,Dodge City Regional Airport,DDC
Maldives,Kudahuvadhoo,Dhaalu Atoll Airport,DDD
China,Dandong (Zhenxing),Dandong Langtou Airport,DDG
Papua New Guinea,,Dodoima Airport,DDM
Australia,,Delta Downs Airport,DDN
China,Xigazê (Dingri),Rikaze Dingri Airport,DDR
Pakistan,Dadu,Dadu West Airport,DDU
Pakistan,Dera Ghazi Khan,Dera Ghazi Khan Airport,DEA
Hungary,Debrecen,Debrecen International Airport,DEB
United States of America,Decatur,Decatur Airport,DEC
India,Dehradun (Jauligrant),Dehradun Jolly Grant Airport,DED
Russia,Yuzhno-Kurilsk,Yuzhno-Kurilsk Mendeleyevo Airport,DEE
Iran,Dezful,Dezful Airport,DEF
United States of America,Decorah,Decorah Municipal Airport,DEH
Seychelles,Denis Island,Denis Island Airport,DEI
India,New Delhi,Indira Gandhi International Airport,DEL
Ethiopia,Dembidollo,Dembidollo Airport,DEM
United States of America,Denver,Denver International Airport,DEN
India,Daporijo,Daporijo Airport,DEP
Papua New Guinea,Derim,Derim Airport,DER
Seychelles,Desroches Island,Desroches Airport,DES
United States of America,Detroit,Coleman A. Young Municipal Airport,DET
Indonesia,Dekai,Nop Goliat Dekai Airport,DEX
Syria,Deir ez-Zor,Deir ez-Zor Airport,DEZ
United States of America,Defiance,Defiance Memorial Airport,DFI
Australia,Palmer,Drumduff Airport,DFP
United States of America,Dallas-Fort Worth,Dallas Fort Worth International Airport,DFW
Belize,Dangriga,Dangriga Airport,DGA
Australia,,Dalgaranga Gold Mine Airport,DGD
Australia,Mudgee,Mudgee Airport,DGE
Canada,Douglas Lake,Douglas Lake Airport,DGF
India,Deoghar,Deoghar Airport,DGH
United States of America,Douglas,Douglas Municipal Airport,DGL
United States of America,Dahlgren,Dahlgren Naval Surface Warfare Center Airport,DGN
Mexico,Ciudad de Durango,Aeropuerto Internacional General Guadalupe Victoria,DGO
Latvia,Daugavpils,Daugavpils International Airport,DGP
New Zealand,,Dargaville Aerodrome,DGR
Philippines,Dumaguete City,Sibulan Airport,DGT
Burkina Faso,Dedougou,Dedougou Airport,DGU
United States of America,Douglas,Converse County Airport,DGW
Saudi Arabia,Dhahran,King Abdulaziz Air Base,DHA
Australia,,Durham Downs Airport,DHD
United Arab Emirates,,Al Dhafra Air Base,DHF
Russia,Dalnegorsk,Dalnegorsk Airport,DHG
Nepal,Dhangarhi,Dhangarhi Airport,DHI
India,Kangra,Kangra Airport,DHM
United States of America,Dothan,Dothan Regional Airport,DHN
Netherlands,Den Helder,De Kooy Airfield / Den Helder Naval Air Station,DHR
United States of America,Dalhart,Dalhart Municipal Airport,DHT
Indonesia,Kediri,Dhoho International Airport,DHX
Qatar,Doha,Doha International Airport,DIA
India,Dibrugarh,Dibrugarh Airport,DIB
Madagascar,Antisiranana,Arrachart Airport,DIE
China,Diqing (Shangri-La),Diqing Shangri-La Airport,DIG
France,"Ouges, Côte-d'Or",Dijon-Bourgogne Airport,DIJ
United States of America,Dickinson,Dickinson Theodore Roosevelt Regional Airport,DIK
East Timor,Dili,Presidente Nicolau Lobato International Airport,DIL
Ivory Coast,Dimbokro,Dimbokro Airport,DIM
Vietnam,Dien Bien Phu,Dien Bien Phu Airport,DIN
Burkina Faso,Diapaga,Diapaga Airport,DIP
Brazil,Divinópolis,Brigadeiro Cabral Airport,DIQ
Ethiopia,Dire Dawa,Aba Tenna Dejazmach Yilma International Airport,DIR
Republic of the Congo,Dolisie,Ngot Nzoungou Airport,DIS
India,Diu,Diu Airport,DIU
Turkey,Diyarbakır,Diyarbakır Airport,DIY
Benin,Djougou,Djougou Airport,DJA
Indonesia,Jambi,Sultan Thaha Airport,DJB
Tunisia,Mellita,Djerba Zarzis International Airport,DJE
Algeria,Djanet,Djanet Inedbirene Airport,DJG
Indonesia,Sentani,Dortheys Hiyo Eluay International Airport,DJJ
Republic of the Congo,Djambala,Djambala Airport,DJM
United States of America,Delta Junction,Delta Junction Airport,DJN
Ivory Coast,,Daloa Airport,DJO
Australia,,Dajarra Airport,DJR
Iceland,Djúpivogur,Djúpivogur Airport,DJU
Nigeria,Katsina,Katsina Airport,DKA
Australia,Dunk Island,Dunk Island Airport,DKI
United States of America,Dunkirk,Chautauqua County-Dunkirk Airport,DKK
Senegal,Dakar,Léopold Sédar Senghor International Airport,DKR
Russia,Dikson,Dikson Airport,DKS
Australia,Kaltukatjara,Docker River Airport,DKV
Cameroon,Douala,Douala International Airport,DLA
China,Dalian (Ganjingzi),Dalian Zhoushuizi International Airport,DLC
France,"Tavaux, Jura",Dole-Jura Airport,DLE
United States of America,Del Rio,Laughlin Air Force Base,DLF
United States of America,Dillingham,Dillingham Airport,DLG
United States of America,Duluth,Duluth International Airport,DLH
Vietnam,Da Lat,Lien Khuong Airport,DLI
Australia,Dulkaninna,Dulkaninna Airport,DLK
United States of America,Dillon,Dillon County Airport,DLL
Turkey,Dalaman,Dalaman International Airport,DLM
United States of America,Dillon,Dillon Airport,DLN
Russia,Dalnerechensk,Dalnerechensk Airport,DLR
United States of America,Dallesport / The Dalles,Columbia Gorge Regional Airport,DLS
China,Dali (Xiaguan),Dali Fengyi Airport,DLU
Australia,Belyuen,Delissaville Airport,DLV
Vanuatu,Dillon's Bay,Dillon's Bay Airport,DLY
Mongolia,Dalanzadgad,Dalanzadgad Airport,DLZ
United States of America,Tucson,Davis Monthan Air Force Base,DMA
Kazakhstan,Taraz,Taraz Airport,DMB
Australia,,Doomadgee Airport,DMD
Russia,Moscow,Domodedovo International Airport,DME
Thailand,Bangkok,Don Mueang International Airport,DMK
Saudi Arabia,Ad Dammam,King Fahd International Airport,DMM
United States of America,Deming,Deming Municipal Airport,DMN
United States of America,Sedalia,Sedalia Memorial Airport,DMO
Brazil,Diamantino,Diamantino Airport,DMT
India,Dimapur,Dimapur Airport,DMU
Japan,,Kadena Air Base,DNA
Australia,Maramie,Dunbar Airport,DNB
United Kingdom,Dundee,Dundee Airport,DND
Libya,Martuba,Martuba Air Base,DNF
Australia,Drysdale River,Doongan Airport,DNG
China,Dunhuang,Dunhuang Mogao International Airport,DNH
Ukraine,Dnipro,Dnipro International Airport,DNK
United States of America,Augusta,Daniel Field,DNL
United States of America,Dalton,Dalton Municipal Airport,DNN
Brazil,Dianópolis,Dianópolis Airport,DNO
Nepal,Dang,Tulsipur Airport,DNP
Australia,Deniliquin,Deniliquin Airport,DNQ
France,"Pleurtuit, Ille-et-Vilaine",Dinard-Pleurtuit-Saint-Malo Airport,DNR
United States of America,Denison,Denison Municipal Airport,DNS
Papua New Guinea,Dinangat,Dinangat Airport,DNU
United States of America,Danville,Vermilion Regional Airport,DNV
Sudan,Dinder,Galegu Airport,DNX
Turkey,Denizli,Çardak Airport,DNZ
Madagascar,Doany,Doany Airport,DOA
Indonesia,Dobo-Warmar Island,Rar Gwamar Airport,DOB
United Kingdom,"Dornoch, Sunderland",Dornoch Airfield,DOC
Tanzania,Dodoma,Dodoma Airport,DOD
Suriname,Djumu-Djomoe,Djumu-Djomoe Airport,DOE
Sudan,Dongola,Dongola Airport,DOG
Qatar,Doha,Hamad International Airport,DOH
Papua New Guinea,Castori Islets,Doini Airport,DOI
France,"Deauville, Calvados",Deauville-Normandie Airport,DOL
Dominica,Marigot,Douglas-Charles Airport,DOM
Guatemala,Dos Lagunas,Dos Lagunas Airport,DON
Papua New Guinea,Dorobisoro,Dorobisoro Airport,DOO
Nepal,Dolpa,Dolpa Airport,DOP
Burkina Faso,Dori,Dori Airport,DOR
Brazil,Dourados,Dourados Airport,DOU
United States of America,Dover,Dover Air Force Base,DOV
Australia,Dongara,Dongara Airport,DOX
China,Dongying (Kenli),Dongying Shengli Airport,DOY
United States of America,Chicago/West Chicago,Dupage Airport,DPA
Chile,Bahia Inutil,Pampa Guanaco Airport,DPB
France,Saint-Aubin-sur-Scie,Dieppe-Saint-Aubin Airport,DPE
United States of America,Dugway Proving Ground,Michael AAF (Dugway Proving Ground) Airport,DPG
Philippines,Dipolog,Dipolog Airport,DPL
Australia,Devonport,Devonport Airport,DPO
Indonesia,Denpasar,Ngurah Rai (Bali) International Airport,DPS
Russia,Deputatskiy,Deputatskiy Airport,DPT
China,Daqing,Daqing Sartu Airport,DQA
Oman,Duqm,Duqm International Airport,DQM
United States of America,Mercury,Desert Rock Airport,DRA
Australia,Derby,Derby Airport,DRB
Angola,Dirico,Dirico Airport,DRC
Australia,Dorunda Outstation,Dorunda Airport,DRD
United States of America,Drummond Island,Drummond Island Airport,DRE
United States of America,Kenai,Drift River Airport,DRF
United States of America,Deering,Deering Airport,DRG
Indonesia,Dabra,Dabra Airport,DRH
United States of America,DeRidder,Beauregard Regional Airport,DRI
Suriname,Drietabbetje,Drietabbetje Airport,DRJ
Costa Rica,Puntarenas,Drake Bay Airport,DRK
Australia,,Dirranbandi Airport,DRN
United States of America,Durango,Durango La Plata County Airport,DRO
Philippines,Legazpi,Bicol International Airport,DRP
Australia,,Durrie Airport,DRR
Germany,Dresden,Dresden Airport,DRS
United States of America,Del Rio,Del Rio International Airport,DRT
United States of America,Drummond,Drummond Airport,DRU
Maldives,Baa Atoll,Dharavandhoo Airport,DRV
Australia,Darwin,Darwin International Airport / RAAF Darwin,DRW
Australia,Drysdale River,Drysdale River Airport,DRY
Cameroon,Dschang,Dschang Airport,DSC
Guadeloupe,Grande Anse,La Désirade Airport,DSD
Ethiopia,Dessie,Kombolcha Airport,DSE
Philippines,Dilasag,Dilasag Airport,DSG
United States of America,Destin,Destin Executive Airport,DSI
Pakistan,Dera Ismael Khan,Dera Ismael Khan Airport,DSK
United States of America,Des Moines,Des Moines International Airport,DSM
China,Ordos,Ordos Ejin Horo Airport,DSN
North Korea,Sŏndŏng-ni,Sondok Airport,DSO
Senegal,Dakar,Blaise Diagne International Airport,DSS
United States of America,Dansville,Dansville Municipal Airport,DSV
Taiwan,Kaohsiung (Cijin - Pratas Island),Dongsha Island (Pratas Island) Airport,DSX
United States of America,Delta,Delta Municipal Airport,DTA
Indonesia,Siborong-Borong,Silangit Airport,DTB
Indonesia,Datadawai-Borneo Island,Datadawai Airport,DTD
Philippines,Daet,Daet Airport,DTE
United States of America,Death Valley,Furnace Creek Airport,DTH
Brazil,Diamantina,Diamantina Airport,DTI
United States of America,Detroit Lakes,Detroit Lakes Airport,DTL
Germany,Dortmund,Dortmund Airport,DTM
United States of America,Shreveport,Shreveport Downtown Airport,DTN
United States of America,Decatur,Decatur Shores Airport,DTR
China,Heihe,Wudalianchi Dedu Airport,DTU
United States of America,Detroit,Detroit Metropolitan Wayne County Airport,DTW
United States of America,Durant,Durant Regional Airport - Eaker Field,DUA
Ireland,Dublin,Dublin Airport,DUB
United States of America,Duncan,Halliburton Field,DUC
New Zealand,Dunedin,Dunedin International Airport,DUD
Angola,Chitato,Dundo Airport,DUE
United States of America,Corolla,Pine Island Airport,DUF
United States of America,Douglas Bisbee,Bisbee Douglas International Airport,DUG
United States of America,Dubois,DuBois Regional Airport,DUJ
South Africa,Mubatuba,Mubatuba Airport,DUK
Indonesia,Dumai,Pinang Kampai Airport,DUM
Canada,Duncan,Duncan Airport,DUQ
South Africa,Durban,King Shaka International Airport,DUR
Germany,Düsseldorf,Düsseldorf Airport,DUS
United States of America,Unalaska,Tom Madsen (Dutch Harbor) Airport,DUT
Madagascar,Andavadoaka,Andavadoaka Airport,DVD
Canada,Diavik,Diavik Airport,DVK
United States of America,Devils Lake,Devils Lake Regional Airport,DVL
United States of America,Davenport,Davenport Municipal Airport,DVN
Philippines,Davao,Francisco Bangoy International Airport,DVO
Australia,,Davenport Downs Airport,DVP
Australia,Nauiyu,Daly River Airport,DVR
United States of America,Phoenix,Phoenix Deer Valley Airport,DVT
Malawi,Dwangwa,Dwangwa Airport,DWA
Madagascar,Soalala,Soalala Airport,DWB
United Arab Emirates,Jebel Ali,Al Maktoum International Airport,DWC
Saudi Arabia,Dawadmi,King Salman Abdulaziz Airport,DWD
United States of America,Houston,David Wayne Hooks Memorial Airport,DWH
Afghanistan,Reg,Dwyer Airport,DWR
United Arab Emirates,Dubai,Dubai International Airport,DXB
Australia,New Dixie,Dixie Airport,DXD
United States of America,Madison,Bruce Campbell Field,DXE
China,Xiangxi,Xiangxi Biancheng Airport,DXJ
United States of America,Danbury,Danbury Municipal Airport,DXR
Australia,,Dysart Airport,DYA
China,Zhangjiajie (Yongding),Zhangjiajie Hehua International Airport,DYG
United States of America,Doylestown,Doylestown Airport,DYL
Australia,Diamantina Lakes,Diamantina Lakes Airport,DYM
Russia,Anadyr,Ugolny Yuri Ryktheu Airport,DYR
United States of America,Abilene,Dyess Air Force Base,DYS
Tajikistan,Dushanbe,Dushanbe Airport,DYU
